panel,location,lon,lat,value
a_mda8_o3_peak,grid_22.60_112.60,112.6,22.6,89.094
a_mda8_o3_peak,grid_22.60_112.80,112.8,22.6,89.094
a_mda8_o3_peak,grid_22.60_113.00,113.0,22.6,88.457
a_mda8_o3_peak,grid_22.60_113.20,113.2,22.6,88.457
a_mda8_o3_peak,grid_22.60_113.40,113.4,22.6,82.844
a_mda8_o3_peak,grid_22.60_113.60,113.6,22.6,82.844
a_mda8_o3_peak,grid_22.60_113.80,113.8,22.6,82.844
a_mda8_o3_peak,grid_22.60_114.00,114.0,22.6,76.084
a_mda8_o3_peak,grid_22.60_114.20,114.2,22.6,67.092
a_mda8_o3_peak,grid_22.60_114.40,114.4,22.6,67.092
a_mda8_o3_peak,grid_22.60_114.60,114.6,22.6,75.128
a_mda8_o3_peak,grid_22.60_114.80,114.8,22.6,75.128
a_mda8_o3_peak,grid_22.60_115.00,115.0,22.6,69.834
a_mda8_o3_peak,grid_22.60_115.20,115.2,22.6,69.834
a_mda8_o3_peak,grid_22.60_115.40,115.4,22.6,61.607
a_mda8_o3_peak,grid_22.60_115.60,115.6,22.6,61.607
a_mda8_o3_peak,grid_22.80_112.00,112.0,22.8,97.832
a_mda8_o3_peak,grid_22.80_112.20,112.2,22.8,97.194
a_mda8_o3_peak,grid_22.80_112.40,112.4,22.8,97.194
a_mda8_o3_peak,grid_22.80_112.60,112.6,22.8,89.094
a_mda8_o3_peak,grid_22.80_112.80,112.8,22.8,89.094
a_mda8_o3_peak,grid_22.80_113.00,113.0,22.8,88.457
a_mda8_o3_peak,grid_22.80_113.20,113.2,22.8,88.457
a_mda8_o3_peak,grid_22.80_113.40,113.4,22.8,82.844
a_mda8_o3_peak,grid_22.80_113.60,113.6,22.8,82.844
a_mda8_o3_peak,grid_22.80_113.80,113.8,22.8,82.844
a_mda8_o3_peak,grid_22.80_114.00,114.0,22.8,76.084
a_mda8_o3_peak,grid_22.80_114.20,114.2,22.8,67.092
a_mda8_o3_peak,grid_22.80_114.40,114.4,22.8,67.092
a_mda8_o3_peak,grid_22.80_114.60,114.6,22.8,75.128
a_mda8_o3_peak,grid_22.80_114.80,114.8,22.8,75.128
a_mda8_o3_peak,grid_22.80_115.00,115.0,22.8,69.834
a_mda8_o3_peak,grid_22.80_115.20,115.2,22.8,69.834
a_mda8_o3_peak,grid_22.80_115.40,115.4,22.8,61.607
a_mda8_o3_peak,grid_22.80_115.60,115.6,22.8,61.607
a_mda8_o3_peak,grid_23.00_112.00,112.0,23.0,83.929
a_mda8_o3_peak,grid_23.00_112.20,112.2,23.0,95.663
a_mda8_o3_peak,grid_23.00_112.40,112.4,23.0,95.663
a_mda8_o3_peak,grid_23.00_112.60,112.6,23.0,96.492
a_mda8_o3_peak,grid_23.00_112.80,112.8,23.0,96.492
a_mda8_o3_peak,grid_23.00_113.00,113.0,23.0,86.48
a_mda8_o3_peak,grid_23.00_113.20,113.2,23.0,86.48
a_mda8_o3_peak,grid_23.00_113.40,113.4,23.0,71.62
a_mda8_o3_peak,grid_23.00_113.60,113.6,23.0,71.62
a_mda8_o3_peak,grid_23.00_113.80,113.8,23.0,71.62
