case,stage,status
H1,Contract,complete
H1,Design,complete
H1,Manifest,complete
H1,Execution,complete
H1,Evidence,complete
H1,Closure,gap
H1,Report,complete
H2,Contract,complete
H2,Design,complete
H2,Manifest,complete
H2,Execution,complete
H2,Evidence,complete
H2,Closure,gap
H2,Report,complete
